03/17-07:47:51.610000  [**] [1:1418:11] SNMP request tcp [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.204.45:49671 -> 192.168.21.253:161
03/17-07:47:52.130000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/17-07:47:52.330000  [**] [1:2016303:4] ET INFO UPnP Discovery Search Response vulnerable UPnP device 2 [**] [Classification: Information Leak] [Priority: 2] {UDP} 192.168.1.254:1900 -> 239.255.255.250:1900
03/17-07:47:52.330000  [**] [1:2101384:9] GPL MISC UPnP malformed advertisement [**] [Classification: Misc Attack] [Priority: 2] {UDP} 192.168.1.254:1900 -> 239.255.255.250:1900
03/17-07:47:52.330000  [**] [1:1384:8] MISC UPnP malformed advertisement [**] [Classification: Misc Attack] [Priority: 2] {UDP} 192.168.1.254:1900 -> 239.255.255.250:1900
03/17-07:47:52.350000  [**] [1:2016303:4] ET INFO UPnP Discovery Search Response vulnerable UPnP device 2 [**] [Classification: Information Leak] [Priority: 2] {UDP} 192.168.1.254:1900 -> 239.255.255.250:1900
03/17-07:47:52.350000  [**] [1:2101384:9] GPL MISC UPnP malformed advertisement [**] [Classification: Misc Attack] [Priority: 2] {UDP} 192.168.1.254:1900 -> 239.255.255.250:1900
03/17-07:47:52.350000  [**] [1:1384:8] MISC UPnP malformed advertisement [**] [Classification: Misc Attack] [Priority: 2] {UDP} 192.168.1.254:1900 -> 239.255.255.250:1900
03/17-07:47:52.370000  [**] [1:2016303:4] ET INFO UPnP Discovery Search Response vulnerable UPnP device 2 [**] [Classification: Information Leak] [Priority: 2] {UDP} 192.168.1.254:1900 -> 239.255.255.250:1900
03/17-07:47:52.370000  [**] [1:2101384:9] GPL MISC UPnP malformed advertisement [**] [Classification: Misc Attack] [Priority: 2] {UDP} 192.168.1.254:1900 -> 239.255.255.250:1900
03/17-07:47:52.370000  [**] [1:1384:8] MISC UPnP malformed advertisement [**] [Classification: Misc Attack] [Priority: 2] {UDP} 192.168.1.254:1900 -> 239.255.255.250:1900
03/17-07:47:52.380000  [**] [1:2016303:4] ET INFO UPnP Discovery Search Response vulnerable UPnP device 2 [**] [Classification: Information Leak] [Priority: 2] {UDP} 192.168.1.254:1900 -> 239.255.255.250:1900
03/17-07:47:52.380000  [**] [1:2101384:9] GPL MISC UPnP malformed advertisement [**] [Classification: Misc Attack] [Priority: 2] {UDP} 192.168.1.254:1900 -> 239.255.255.250:1900
03/17-07:47:52.380000  [**] [1:1384:8] MISC UPnP malformed advertisement [**] [Classification: Misc Attack] [Priority: 2] {UDP} 192.168.1.254:1900 -> 239.255.255.250:1900
03/17-07:47:52.400000  [**] [1:2016303:4] ET INFO UPnP Discovery Search Response vulnerable UPnP device 2 [**] [Classification: Information Leak] [Priority: 2] {UDP} 192.168.1.254:1900 -> 239.255.255.250:1900
03/17-07:47:52.400000  [**] [1:2101384:9] GPL MISC UPnP malformed advertisement [**] [Classification: Misc Attack] [Priority: 2] {UDP} 192.168.1.254:1900 -> 239.255.255.250:1900
03/17-07:47:52.400000  [**] [1:1384:8] MISC UPnP malformed advertisement [**] [Classification: Misc Attack] [Priority: 2] {UDP} 192.168.1.254:1900 -> 239.255.255.250:1900
03/17-07:47:52.420000  [**] [1:2016303:4] ET INFO UPnP Discovery Search Response vulnerable UPnP device 2 [**] [Classification: Information Leak] [Priority: 2] {UDP} 192.168.1.254:1900 -> 239.255.255.250:1900
03/17-07:47:52.420000  [**] [1:2101384:9] GPL MISC UPnP malformed advertisement [**] [Classification: Misc Attack] [Priority: 2] {UDP} 192.168.1.254:1900 -> 239.255.255.250:1900
03/17-07:47:52.420000  [**] [1:1384:8] MISC UPnP malformed advertisement [**] [Classification: Misc Attack] [Priority: 2] {UDP} 192.168.1.254:1900 -> 239.255.255.250:1900
03/17-07:47:53.250000  [**] [1:2002911:5] ET SCAN Potential VNC Scan 5900-5920 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.204.45:54423 -> 192.168.21.253:5903
03/17-07:47:53.270000  [**] [1:1420:11] SNMP trap tcp [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.204.45:51430 -> 192.168.21.253:162
03/17-07:47:53.530000  [**] [1:2012648:3] ET POLICY Dropbox Client Broadcasting [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {UDP} 192.168.202.75:17500 -> 255.255.255.255:17500
03/17-07:47:53.750000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/17-07:47:54.320000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/17-07:47:54.900000  [**] [1:1421:11] SNMP AgentX/tcp request [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.204.45:56020 -> 192.168.21.253:705
03/17-07:47:55.370000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/17-07:47:55.790000  [**] [1:2002910:5] ET SCAN Potential VNC Scan 5800-5820 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.204.45:47602 -> 192.168.21.253:5813
03/17-07:47:56.170000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.138
03/17-07:47:57.160000  [**] [1:2010936:2] ET POLICY Suspicious inbound to Oracle SQL port 1521 [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.204.45:56470 -> 192.168.21.253:1521
03/17-07:47:57.450000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/17-07:47:58.670000  [**] [1:2010938:2] ET POLICY Suspicious inbound to mSQL port 4333 [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.204.45:42271 -> 192.168.21.253:4333
03/17-07:47:58.690000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/17-07:47:59.290000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/17-07:47:59.600000  [**] [1:2003068:6] ET SCAN Potential SSH Scan OUTBOUND [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.202.68:52317 -> 192.168.27.102:22
03/17-07:47:59.600000  [**] [1:2001219:19] ET SCAN Potential SSH Scan [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.202.68:52317 -> 192.168.27.102:22
03/17-07:48:00.310000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/17-07:48:00.910000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/17-07:48:01.690000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/17-07:48:01.690000  [**] [1:2010935:2] ET POLICY Suspicious inbound to MSSQL port 1433 [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.204.45:43559 -> 192.168.21.253:1433
03/17-07:48:02.290000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/17-07:48:02.510000  [**] [1:249:8] DDOS mstream client to handler [**] [Classification: Attempted Denial of Service] [Priority: 2] {TCP} 192.168.204.45:45053 -> 192.168.21.253:15104
03/17-07:48:02.960000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/17-07:48:03.760000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/17-07:48:04.339999  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/17-07:48:04.939999  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/17-07:48:05.530000  [**] [1:2010939:2] ET POLICY Suspicious inbound to PostgreSQL port 5432 [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.204.45:52674 -> 192.168.21.1:5432
03/17-07:48:05.850000  [**] [1:2002910:5] ET SCAN Potential VNC Scan 5800-5820 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.202.87:35690 -> 192.168.21.121:5801
03/17-07:48:05.970000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/17-07:48:06.590000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/17-07:48:07.150000  [**] [1:2100366:8] GPL ICMP_INFO PING *NIX [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.112 -> 192.168.25.203
03/17-07:48:07.150000  [**] [1:366:7] ICMP PING *NIX [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.112 -> 192.168.25.203
03/17-07:48:07.150000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.112 -> 192.168.25.203
03/17-07:48:07.690000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/17-07:48:07.690000  [**] [1:2003068:6] ET SCAN Potential SSH Scan OUTBOUND [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.202.68:37891 -> 192.168.27.102:22
03/17-07:48:08.160000  [**] [1:2100366:8] GPL ICMP_INFO PING *NIX [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.112 -> 192.168.25.203
03/17-07:48:08.160000  [**] [1:366:7] ICMP PING *NIX [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.112 -> 192.168.25.203
03/17-07:48:08.160000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.112 -> 192.168.25.203
03/17-07:48:08.220000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/17-07:48:09.160000  [**] [1:2100366:8] GPL ICMP_INFO PING *NIX [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.112 -> 192.168.25.203
03/17-07:48:09.160000  [**] [1:366:7] ICMP PING *NIX [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.112 -> 192.168.25.203
03/17-07:48:09.160000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.112 -> 192.168.25.203
03/17-07:48:09.310000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/17-07:48:09.350000  [**] [1:2010937:2] ET POLICY Suspicious inbound to mySQL port 3306 [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.202.83:45453 -> 192.168.206.44:3306
03/17-07:48:09.360000  [**] [1:2010936:2] ET POLICY Suspicious inbound to Oracle SQL port 1521 [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.202.83:51127 -> 192.168.206.44:1521
03/17-07:48:09.360000  [**] [1:1421:11] SNMP AgentX/tcp request [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.202.83:34897 -> 192.168.206.44:705
03/17-07:48:09.360000  [**] [1:2010939:2] ET POLICY Suspicious inbound to PostgreSQL port 5432 [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.202.83:49326 -> 192.168.206.44:5432
03/17-07:48:09.360000  [**] [1:2002911:5] ET SCAN Potential VNC Scan 5900-5920 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.202.83:39518 -> 192.168.206.44:5911
03/17-07:48:09.370000  [**] [1:1418:11] SNMP request tcp [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.202.83:52281 -> 192.168.206.44:161
03/17-07:48:09.370000  [**] [1:2010935:2] ET POLICY Suspicious inbound to MSSQL port 1433 [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.202.83:52040 -> 192.168.206.44:1433
03/17-07:48:09.379999  [**] [1:2002910:5] ET SCAN Potential VNC Scan 5800-5820 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.202.83:33168 -> 192.168.206.44:5801
03/17-07:48:09.859999  [**] [1:2014925:2] ET INFO NetSSH SSH Version String Hardcoded in Metasploit [**] [Classification: Attempted User Privilege Gain] [Priority: 1] {TCP} 192.168.202.68:52795 -> 192.168.25.253:22
03/17-07:48:09.930000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/17-07:48:10.930000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/17-07:48:11.779999  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/17-07:48:12.710000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/17-07:48:13.410000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/17-07:48:13.490000  [**] [1:2013337:4] ET TROJAN PoisonIvy.E Keepalive to CnC [**] [Classification: A Network Trojan was Detected] [Priority: 1] {TCP} 192.168.23.100:1239 -> 192.168.202.92:22
03/17-07:48:13.970000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/17-07:48:14.779999  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/17-07:48:15.610000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/17-07:48:15.880000  [**] [1:2100366:8] GPL ICMP_INFO PING *NIX [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.112 -> 192.168.28.203
03/17-07:48:15.880000  [**] [1:366:7] ICMP PING *NIX [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.112 -> 192.168.28.203
03/17-07:48:15.880000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.112 -> 192.168.28.203
03/17-07:48:16.010000  [**] [1:2003068:6] ET SCAN Potential SSH Scan OUTBOUND [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.202.109:38054 -> 192.168.25.254:22
03/17-07:48:16.010000  [**] [1:2001219:19] ET SCAN Potential SSH Scan [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.202.109:38054 -> 192.168.25.254:22
03/17-07:48:16.400000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/17-07:48:16.890000  [**] [1:2100366:8] GPL ICMP_INFO PING *NIX [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.112 -> 192.168.28.203
03/17-07:48:16.890000  [**] [1:366:7] ICMP PING *NIX [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.112 -> 192.168.28.203
03/17-07:48:16.890000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.112 -> 192.168.28.203
03/17-07:48:17.090000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/17-07:48:18.160000  [**] [1:1418:11] SNMP request tcp [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.204.45:48288 -> 192.168.21.1:161
03/17-07:48:18.250000  [**] [1:2003068:6] ET SCAN Potential SSH Scan OUTBOUND [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.202.68:41676 -> 192.168.27.102:22
03/17-07:48:18.710000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/17-07:48:20.320000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
