03/16-09:32:21.880000  [**] [1:585:7] RPC portmap sadmind request UDP [**] [Classification: Decode of an RPC Query] [Priority: 2] {UDP} 192.168.202.110:44847 -> 192.168.22.253:111
03/16-09:32:21.900000  [**] [1:2013659:3] ET POLICY Self Signed SSL Certificate (SomeOrganizationalUnit) [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.22.253:443 -> 192.168.202.110:38256
03/16-09:32:21.980000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.203.1 -> 192.168.203.61
03/16-09:32:22.010000  [**] [1:2013659:3] ET POLICY Self Signed SSL Certificate (SomeOrganizationalUnit) [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.22.253:443 -> 192.168.202.110:38262
03/16-09:32:22.190000  [**] [1:2013659:3] ET POLICY Self Signed SSL Certificate (SomeOrganizationalUnit) [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.22.253:443 -> 192.168.202.110:38266
03/16-09:32:22.280000  [**] [1:2013659:3] ET POLICY Self Signed SSL Certificate (SomeOrganizationalUnit) [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.22.253:443 -> 192.168.202.110:38273
03/16-09:32:22.290000  [**] [1:2013659:3] ET POLICY Self Signed SSL Certificate (SomeOrganizationalUnit) [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.22.253:443 -> 192.168.202.110:38274
03/16-09:32:22.320000  [**] [1:2003068:6] ET SCAN Potential SSH Scan OUTBOUND [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.202.110:60548 -> 192.168.22.101:22
03/16-09:32:22.370000  [**] [1:2013659:3] ET POLICY Self Signed SSL Certificate (SomeOrganizationalUnit) [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.22.253:443 -> 192.168.202.110:38280
03/16-09:32:22.460000  [**] [1:2013659:3] ET POLICY Self Signed SSL Certificate (SomeOrganizationalUnit) [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.22.253:443 -> 192.168.202.110:38284
03/16-09:32:22.550000  [**] [1:2013659:3] ET POLICY Self Signed SSL Certificate (SomeOrganizationalUnit) [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.22.253:443 -> 192.168.202.110:38291
03/16-09:32:22.590000  [**] [1:2102472:11] GPL NETBIOS SMB-DS C$ unicode share access [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.202.115:2970 -> 192.168.24.100:445
03/16-09:32:22.590000  [**] [1:2472:9] NETBIOS SMB-DS C$ unicode share access [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.202.115:2970 -> 192.168.24.100:445
03/16-09:32:22.600000  [**] [1:2102472:11] GPL NETBIOS SMB-DS C$ unicode share access [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.202.115:2970 -> 192.168.24.100:445
03/16-09:32:22.600000  [**] [1:2472:9] NETBIOS SMB-DS C$ unicode share access [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.202.115:2970 -> 192.168.24.100:445
03/16-09:32:22.600000  [**] [1:2102472:11] GPL NETBIOS SMB-DS C$ unicode share access [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.202.115:2970 -> 192.168.24.100:445
03/16-09:32:22.600000  [**] [1:2472:9] NETBIOS SMB-DS C$ unicode share access [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.202.115:2970 -> 192.168.24.100:445
03/16-09:32:22.610000  [**] [1:2102472:11] GPL NETBIOS SMB-DS C$ unicode share access [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.202.115:2970 -> 192.168.24.100:445
03/16-09:32:22.610000  [**] [1:2472:9] NETBIOS SMB-DS C$ unicode share access [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.202.115:2970 -> 192.168.24.100:445
03/16-09:32:22.620000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.97
03/16-09:32:22.650000  [**] [1:2013659:3] ET POLICY Self Signed SSL Certificate (SomeOrganizationalUnit) [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.22.253:443 -> 192.168.202.110:38297
03/16-09:32:22.650000  [**] [1:2013659:3] ET POLICY Self Signed SSL Certificate (SomeOrganizationalUnit) [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.22.253:443 -> 192.168.202.110:38298
03/16-09:32:22.660000  [**] [1:2102472:11] GPL NETBIOS SMB-DS C$ unicode share access [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.202.115:2970 -> 192.168.24.100:445
03/16-09:32:22.660000  [**] [1:2472:9] NETBIOS SMB-DS C$ unicode share access [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.202.115:2970 -> 192.168.24.100:445
03/16-09:32:22.660000  [**] [1:2102472:11] GPL NETBIOS SMB-DS C$ unicode share access [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.202.115:2970 -> 192.168.24.100:445
03/16-09:32:22.660000  [**] [1:2472:9] NETBIOS SMB-DS C$ unicode share access [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.202.115:2970 -> 192.168.24.100:445
03/16-09:32:22.670000  [**] [1:2102472:11] GPL NETBIOS SMB-DS C$ unicode share access [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.202.115:2970 -> 192.168.24.100:445
03/16-09:32:22.670000  [**] [1:2472:9] NETBIOS SMB-DS C$ unicode share access [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.202.115:2970 -> 192.168.24.100:445
03/16-09:32:22.670000  [**] [1:2102472:11] GPL NETBIOS SMB-DS C$ unicode share access [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.202.115:2970 -> 192.168.24.100:445
03/16-09:32:22.670000  [**] [1:2472:9] NETBIOS SMB-DS C$ unicode share access [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.202.115:2970 -> 192.168.24.100:445
03/16-09:32:22.800000  [**] [1:2013659:3] ET POLICY Self Signed SSL Certificate (SomeOrganizationalUnit) [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.22.253:443 -> 192.168.202.110:38302
03/16-09:32:23.020000  [**] [1:2013659:3] ET POLICY Self Signed SSL Certificate (SomeOrganizationalUnit) [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.22.253:443 -> 192.168.202.110:38307
03/16-09:32:23.160000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.89
03/16-09:32:23.170000  [**] [1:2013659:3] ET POLICY Self Signed SSL Certificate (SomeOrganizationalUnit) [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.22.253:443 -> 192.168.202.110:38312
03/16-09:32:23.180000  [**] [1:2013659:3] ET POLICY Self Signed SSL Certificate (SomeOrganizationalUnit) [**] [Classification: Potential Corporate Privacy Violation] [Priority: 1] {TCP} 192.168.22.253:443 -> 192.168.202.110:38313
