03/16-09:29:49.550000  [**] [1:2003068:6] ET SCAN Potential SSH Scan OUTBOUND [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.202.110:22318 -> 192.168.22.244:22
03/16-09:29:49.600000  [**] [1:388:5] ICMP Address Mask Request [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.110 -> 192.168.22.1
03/16-09:29:49.830000  [**] [1:469:3] ICMP PING NMAP [**] [Classification: Attempted Information Leak] [Priority: 2] {ICMP} 192.168.202.110 -> 192.168.22.245
03/16-09:29:49.830000  [**] [1:384:5] ICMP PING [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.110 -> 192.168.22.245
03/16-09:29:49.920000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.76
03/16-09:29:50.030000  [**] [1:2003068:6] ET SCAN Potential SSH Scan OUTBOUND [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.202.110:37856 -> 192.168.22.102:22
03/16-09:29:50.690000  [**] [1:1917:6] SCAN UPnP service discover attempt [**] [Classification: Detection of a Network Scan] [Priority: 3] {UDP} fe80::4c3a:e571:4cfc:b70c:55060 -> ff02::c:1900
03/16-09:29:50.950000  [**] [1:2101334:7] GPL EXPLOIT echo command attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 192.168.202.102:3865 -> 192.168.24.253:80
03/16-09:29:50.950000  [**] [1:1334:5] WEB-ATTACKS echo command attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 192.168.202.102:3865 -> 192.168.24.253:80
03/16-09:29:51.270000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.89
03/16-09:29:51.570000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.204.1 -> 192.168.204.45
03/16-09:29:51.580000  [**] [1:1420:11] SNMP trap tcp [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.202.110:62945 -> 192.168.22.102:162
03/16-09:29:52.100000  [**] [1:2101334:7] GPL EXPLOIT echo command attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 192.168.202.102:3866 -> 192.168.22.253:80
03/16-09:29:52.100000  [**] [1:1334:5] WEB-ATTACKS echo command attempt [**] [Classification: Web Application Attack] [Priority: 1] {TCP} 192.168.202.102:3866 -> 192.168.22.253:80
03/16-09:29:52.270000  [**] [1:399:6] ICMP Destination Unreachable Host Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.202.1 -> 192.168.202.89
03/16-09:29:52.510000  [**] [1:2102475:9] GPL NETBIOS SMB-DS ADMIN$ unicode share access [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.202.115:2970 -> 192.168.24.100:445
