Algorithm	clusters	duration label	duration (ms)	bytes shared label	bytes shared
Distributed (none)	3	duration (ms) =	1503	bytes shared =	26369
Distributed (none)	3	duration (ms) =	814	bytes shared =	25784
Distributed (none)	3	duration (ms) =	1434	bytes shared =	25593
Secret Sharing	3	duration (ms) =	375	bytes shared =	25180
Secret Sharing	3	duration (ms) =	377	bytes shared =	25210
Secret Sharing	3	duration (ms) =	451	bytes shared =	26173
Differential Privacy	3	duration (ms) =	430	bytes shared =	25656
Differential Privacy	3	duration (ms) =	491	bytes shared =	26463
Differential Privacy	3	duration (ms) =	437	bytes shared =	25681
Distributed (none)	4	duration (ms) =	665	bytes shared =	33569
Distributed (none)	4	duration (ms) =	666	bytes shared =	32397
Distributed (none)	4	duration (ms) =	665	bytes shared =	32452
Secret Sharing	4	duration (ms) =	678	bytes shared =	32062
Secret Sharing	4	duration (ms) =	678	bytes shared =	32097
Secret Sharing	4	duration (ms) =	682	bytes shared =	33171
Differential Privacy	4	duration (ms) =	736	bytes shared =	32387
Differential Privacy	4	duration (ms) =	738	bytes shared =	33518
Differential Privacy	4	duration (ms) =	742	bytes shared =	32377
Distributed (none)	5	duration (ms) =	883	bytes shared =	40615
Distributed (none)	5	duration (ms) =	889	bytes shared =	39322
Distributed (none)	5	duration (ms) =	921	bytes shared =	39317
Secret Sharing	5	duration (ms) =	946	bytes shared =	40199
Secret Sharing	5	duration (ms) =	906	bytes shared =	38964
Secret Sharing	5	duration (ms) =	951	bytes shared =	38954
Differential Privacy	5	duration (ms) =	820	bytes shared =	40548
Differential Privacy	5	duration (ms) =	848	bytes shared =	39331
Differential Privacy	5	duration (ms) =	852	bytes shared =	39316
Distributed (none)	6	duration (ms) =	1129	bytes shared =	46102
Distributed (none)	6	duration (ms) =	1069	bytes shared =	47702
Distributed (none)	6	duration (ms) =	1129	bytes shared =	46077
Secret Sharing	6	duration (ms) =	1191	bytes shared =	47130
Secret Sharing	6	duration (ms) =	1089	bytes shared =	45936
Secret Sharing	6	duration (ms) =	1135	bytes shared =	45936
Differential Privacy	6	duration (ms) =	1108	bytes shared =	46420
Differential Privacy	6	duration (ms) =	1057	bytes shared =	46538
Differential Privacy	6	duration (ms) =	1099	bytes shared =	48011
Distributed (none)	7	duration (ms) =	1733	bytes shared =	70787
Distributed (none)	7	duration (ms) =	1774	bytes shared =	70697
Distributed (none)	7	duration (ms) =	1739	bytes shared =	72337
Secret Sharing	7	duration (ms) =	1234	bytes shared =	52653
Secret Sharing	7	duration (ms) =	1237	bytes shared =	52638
Secret Sharing	7	duration (ms) =	1235	bytes shared =	54240
Differential Privacy	7	duration (ms) =	1294	bytes shared =	53614
Differential Privacy	7	duration (ms) =	1254	bytes shared =	55073
Differential Privacy	7	duration (ms) =	1290	bytes shared =	53604
Distributed (none)	8	duration (ms) =	1804	bytes shared =	80212
Distributed (none)	8	duration (ms) =	1744	bytes shared =	82099
Distributed (none)	8	duration (ms) =	1780	bytes shared =	80443
Secret Sharing	8	duration (ms) =	1444	bytes shared =	59785
Secret Sharing	8	duration (ms) =	1378	bytes shared =	59957
Secret Sharing	8	duration (ms) =	1370	bytes shared =	61660
Differential Privacy	8	duration (ms) =	1834	bytes shared =	80137
Differential Privacy	8	duration (ms) =	1822	bytes shared =	81822
Differential Privacy	8	duration (ms) =	1838	bytes shared =	80142
